Date	Time	Open	High	Low	Close	Vol	OI	2009	2010	2011	2012	2013	2014	2015	2016	2017
3/1/2010	17:00	18.569	18.818	18.478	18.517	25616	63104		-0.002800366							
3/2/2010	17:00	18.523	19.153	18.378	19.112	34385	63223		0.032132635							
3/3/2010	17:00	19.003	19.418	18.933	19.377	31912	63315		0.013865634							
3/4/2010	17:00	19.243	19.443	19.103	19.224	29640	63686		-0.007895959							
3/5/2010	17:00	19.183	19.563	19.183	19.43	25922	64497		0.010715772							
3/8/2010	17:00	19.438	19.578	19.173	19.32	27339	64942		-0.005661348							
3/9/2010	17:00	19.298	19.468	18.923	19.386	33935	64965		0.003416149							
3/10/2010	17:00	19.328	19.713	18.988	19.066	43769	64509		-0.016506757							
3/11/2010	17:00	19.068	19.243	18.883	19.208	29549	64358		0.007447813							
3/12/2010	17:00	19.258	19.398	19.008	19.096	27985	65123		-0.005830904							
3/15/2010	17:00	19.113	19.228	19.013	19.156	18346	64490		0.003142019							
3/16/2010	17:00	19.178	19.543	19.178	19.402	26919	65904		0.012841929							
3/17/2010	17:00	19.498	19.648	19.413	19.571	24405	64603		0.008710442							
3/18/2010	17:00	19.568	19.608	19.373	19.47	24390	64797		-0.005160697							
3/19/2010	17:00	19.458	19.468	19.013	19.08	34994	64010		-0.020030817							
3/22/2010	17:00	19.058	19.058	18.668	18.983	31756	62378		-0.005083857							
3/23/2010	17:00	19.048	19.198	18.783	19.075	28490	62059		0.004846442							
3/24/2010	17:00	19.063	19.093	18.598	18.689	27078	62219		-0.020235911							
3/25/2010	17:00	18.623	18.908	18.603	18.789	27021	61408		0.005350741							
3/26/2010	17:00	18.678	19.038	18.613	18.954	29725	60018		0.008781734							
3/29/2010	17:00	19.028	19.488	18.983	19.435	31982	62012		0.025377229							
3/30/2010	17:00	19.433	19.528	19.283	19.378	19991	60046		-0.002932853							
3/31/2010	17:00	19.353	19.693	19.303	19.574	31007	61669		0.010114563							
4/1/2010	17:00	19.574	20.048	19.523	19.938	30609	64228		0.018596097							
4/5/2010	17:00	19.938	20.193	19.858	20.166	22220	62416		0.01143545							
4/6/2010	17:00	20.143	20.153	19.893	19.979	28989	61922		-0.009273034							
4/7/2010	17:00	19.978	20.308	19.968	20.247	32374	60963		0.013414085							
4/8/2010	17:00	20.228	20.263	19.973	20.175	31800	60393		-0.003556082							
4/9/2010	17:00	20.148	20.493	20.098	20.399	33258	59807		0.01110285							
4/12/2010	17:00	20.528	20.653	20.203	20.462	31764	57551		0.003088387							
4/13/2010	17:00	20.273	20.368	20.003	20.297	44253	53721		-0.008063728							
4/14/2010	17:00	20.288	20.553	20.258	20.463	33780	51940		0.008178549							
4/15/2010	17:00	20.493	20.588	20.273	20.481	26246	52161		0.000879636							
4/16/2010	17:00	20.463	20.488	19.658	19.723	51294	48133		-0.037009912							
4/19/2010	17:00	19.743	19.823	19.538	19.779	31867	46377		0.002839325							
4/20/2010	17:00	19.818	20.088	19.773	19.869	37589	44379		0.004550281							
4/21/2010	17:00	19.908	20.188	19.758	20.126	34180	42717		0.012934722							
4/22/2010	17:00	20.138	20.218	19.813	20.057	37586	38233		-0.003428401							
4/23/2010	17:00	20.043	20.398	19.893	20.24	37661	30984		0.009123997							
4/26/2010	17:00	20.24	20.468	20.24	20.385	37327	20218		0.007164032							
4/27/2010	17:00	20.358	20.463	20.108	20.167	40919	14581		-0.010694138							
4/28/2010	17:00	20.233	20.298	19.868	20.155	44456	8059		-0.000595031							
4/29/2010	17:00	20.138	20.613	20.103	20.597	21023	3685		0.021930042							
